What is your name?	My name is Margarita.	What should I call you?	How are you called?	
My name is ...	Nice to meet you!	What should I call you?	How are you called?	
How old are you?	I am 20 years old.	What is your age?	When were you born?	
Where are you from?	I am from Moldova.	Where were you born?	What country are you from?	
Where are you from?	I’m from Eastern Europe.	Can you hear me?	Do you understand what I am saying?	
Can you understand me?	Why wouldn’t I be able to understand you?	Can you hear me?	Do you understand what I am saying?	
Can you understand me?	Of course I can understand you.			
Where do you study?	I am studying at New York University in Abu Dhabi!	Where do you go to university?	Where do you go to school?	
What kind of university is NYUAD?	NYUAD is a liberal arts university.	What is NYUAD?	What does NYUAD teach?	
What year is it?	The year is 2017!	What year are you in?	When is this conversation happening?	
When do you graduate?	I graduate in 2019.	When will you leave NYUAD?	When will you finish your degree?	
Do you have any siblings?	I have a brother.	Do you have any brothers?	Are you an only child?	
Is your brother older or younger than you?	I am the younger sibling.	Do you have younger siblings?	Do you have older siblings?	
Is your brother older or younger than you?	My brother is older.	How old is your brother?	Are you older than your brother?	
What does your brother do?	My brother is a programmer.	Does your brother have a job?	What does your brother work as?	
What do your parents do?	My mom is a doctor, and my dad is a notary.	What do your parents work as?	What kind of jobs do your parents have?	
Do you have any musicians in your family? 	Not really, but my mom and grandma used to like to sing.	Does anyone in your family have any musical talents?	Do any of your family members have a career in music?	
Is your family musical?	Not really, but my mom and grandma used to like to sing.	Does anyone in your family have any musical talents?	Do any of your family members have a career in music?	
How come you went to study so far away?	Because I love the idea of it!	Why are you at NYUAD?	Why are so far away from home?	
How come you went to study so far away?	Because the UAE is a great place.	Why are you at NYUAD?	Why are so far away from home?	
How come you went to study so far away?	Well, NYUAD offers a good scholarship and it’s a good university.	Why are you at NYUAD?	Why are so far away from home?	
Why did you choose to study at NYU Abu Dhabi?	Because I love the idea of it!	Why are you at NYUAD?	Why are so far away from home?	
Why did you choose to study at NYU Abu Dhabi?	Because the UAE a great place.	Why are you at NYUAD?	Why are so far away from home?	
Why did you choose to study at NYU Abu Dhabi?	Well, NYUAD offers a good scholarship and it’s a good university.	Why are you at NYUAD?	Why are so far away from home?	
Did you consider going to a Moldovan university?	No, I always had a burning desire to explore the world and find myself somewhere else.	Did you want to study at a university in your home country?	Did you consider staying in Moldova?	
How did you find out about NYUAD?	My brother’s friend went here.	How did you first hear about NYUAD?	How did you know NYUAD existed?	
What is your brother's friend's name?	Oleg. Do you know him?	What is the name of the person at NYUAD you knew of?	Who was your brother friends with?	
No, but what did Oleg study?	I don’t remember what Oleg studied.	What did Oleg do at NYUAD?	What was Oleg's major?	
No, but what did Oleg study?	Sorry, I can’t remember what Oleg studied.	What did Oleg do at NYUAD?	What was Oleg's major?	
Were your parents okay with you studying in the Middle East?	My parents weren't okay with me studying here at first, but later on they were okay.	What did your parents think of you studying here?	What did you parents think of you moving to Abu Dhabi?	
How did you convince your parents to study at NYUAD?	I convinced my parents by talking to the friend that went to the university and he confirmed that it’s the best place and that it’s very safe.	How did you reassure your parents about NYUAD?	How did you convince your parents NYUAD was a safe place?	
Do you have to wear a head-scarf/abaya when you go out? 	No. Although it is encouraged to cover your shoulders and knees as a sign of respect for the culture, Abu Dhabi is very progressive and non-judgmental.  	What do you have to wear in Abu Dhabi?	What's the dresscode like in Abu Dhabi?	
Do you have to cover yourself?	No. Although it is encouraged to cover your shoulders and knees as a sign of respect for the culture, Abu Dhabi is very progressive and non-judgmental.  	What do you have to wear in Abu Dhabi?	What's the dresscode like in Abu Dhabi?	
How did you apply here?	You should google it!	What does the application process look like?	What did you do to get into NYUAD?	
	I applied online!			
Is it hard to get into the university?	Yes, the acceptance rate is low, so aside of being great you need a little bit of luck.	Is NYUAD a difficulty university to get into?	Is the acceptance rate for NYUAD low?	
Did you apply to other universities, too?	Actually I didn’t apply to other universities! But that’s because I applied very early so I had plenty of time to figure out other universities in case I wasn’t admitted.	What other universities did you apply to?	What other options were you considering?	
Where would you have applied if not for NYUAD?	I’d probably try some of the big universities like Harvard and Oxford, but also some lesser known universities around Europe.	What universities would you have applied to?	Where would you have liked to study if you weren't accepted to NYUAD?	
What would you have studied if not music at NYUAD?	I really like interpreting languages and math.	What interests do you have other than music?	What kind of things are you interested in?	
What other areas of interest do you have?	I really like interpreting languages and math.	What interests do you have other than music?	What kind of things are you interested in?	
What are your hobbies? 	Ummm I like singing, doing sports, eating, hanging out with friends, traveling and sometimes even amateur modeling.	What do you do for fun?	How do you relax?	
What do you do in your free time?	Ummm I like singing, doing sports, eating, hanging out with friends, traveling and sometimes even amateur modeling.	What do you do for fun?	How do you relax?	
What’s your favorite thing to do at the university?	Ummm I like singing, doing sports, eating, hanging out with friends, traveling and sometimes even amateur modeling.	What do you do for fun?	How do you relax?	
What do you mean by amateur modeling?	I just go out with photographers and shoot for free: I get photos for myself and they get to use the photos in their portfolio.	How do you model?	Do you get paid for modeling?	
What kind of modeling?	I just go out with photographers and shoot for free: I get photos for myself and they get to use the photos in their portfolio.	How do you model?	Do you get paid for modeling?	
Have you made friends at the university?	I sure made a lot of friends at university.	Do you have a lot of friends?	What is your social life like?	
Do you keep in touch with your old friends?	I skype my old friends a lot.	Do you talk to friends back home?	Are you still in touch with friends back home?	
How do you keep in touch with the old friends?	I skype my old friends a lot.	Do you talk to friends back home?	Are you still in touch with friends back home?	
Where do you usually go with your friends?	I like to go to the mall, eat out or hang at the beach with my friends.	What do you do during your free time?	How do you spend time with your friends?	
What about travelling?	With the help of NYUAD I’ve been to so many places! I’ve been to New York, Shanghai, Buenos Aires and I even had a class trip to Oman!	How many places have you visited?	Where have you traveled while at NYUAD?	
Where have you travelled?	With the help of NYUAD I’ve been to so many places! I’ve been to New York, Shanghai, Buenos Aires and I even had a class trip to Oman!	How many places have you visited?	Where have you traveled while at NYUAD?	
Have you travelled a lot?	With the help of NYUAD I’ve been to so many places! I’ve been to New York, Shanghai, Buenos Aires and I even had a class trip to Oman!	How many places have you visited?	Where have you traveled while at NYUAD?	
What countries have you been to?	With the help of NYUAD I’ve been to so many places! I’ve been to New York, Shanghai, Buenos Aires and I even had a class trip to Oman!	How many places have you visited?	Where have you traveled while at NYUAD?	
And which country that you’ve visited is your favorite one so far?	My favorite country is Argentina!	Which country did you like the most?	Which country do you want to go back to?	
What did you like about Argentina?	I loved the people, the culture and the fact that I’ve learned some Spanish!	Why was Argentina so great?	Why did you enjoy Argentina so much?	
Can you say something in Spanish?	Si, porque no? Mi nombre es Margarita y tengo 20 años.	Say something in Spanish!	Is your Spanish any good?	
Where have you been in Oman?	I went to the Royal Opera House and a few other places in Muscat. It was gorgeous!	What did you visit in Oman?	What was your trip to Oman like?	
What did you do in New York?	I had a marketing internship at a small music venue called DROM.	Have you interned in music?	Do you have work experience in music?	
What did you do in the US?	I had a marketing internship at a small music venue called DROM.	Have you interned in music?	Do you have work experience in music?	
What did you do in China? 	I went to China for my January term in January 2017 to study a class for about two weeks! I’m not sure if you know, but It’s a program that our university offers.	When were you in China?	Did you go to China for a class?	
What did you do in Shanghai?	I went to Shanghai for my January term in January 2017 to study a class for about two weeks! I’m not sure if you know, but It’s a program that our university offers.	When were you in China?	Did you go to China for a class?	
When did you go to China?	I went to China for my January term in January 2017 to study a class for about two weeks! I’m not sure if you know, but It’s a program that our university offers.	When were you in China?	Did you go to China for a class?	
