سؤال,جواب,Manual Question 1,Manual Question 2,Manual Question 3
مرحباً.,مرحبا,,,
مرحباً.,مرحباً!,,,
ما اسمك؟,اسمي مارغاريتا.,بماذا أناديك؟,بما تتم مناداتك؟,بما تتم تسميتك؟
اسمي ...,سعدت بلقائك!,بماذا أناديك؟,بما تتم مناداتك؟,بما تتم تسميتك؟
عن ماذا يمكنني أن أحدثك؟,يمكنك التحدث معي عن الموسيقى أو جامعتي أو حياتي بشكل عام,,,
كم عمرك؟,عمري ٢٠ سنة.,كم عمرك؟,متى ولدت؟,كم يبلغ عمرك من السنوات؟
من أين أنت؟,أنا من مولدوفا.,أين ولدت؟,من أي بلد أنت؟,في أي بلد ولدت؟
من أين أنت؟,أنا من أوروبا الشرقية.,هل يمكنك سماعي؟,هل تفهمين ما أقوله؟,هل تفهمينني؟
هل يمكنك فهمي؟,ولم لن أستطيع فهمك؟,هل يمكنك سماعي؟,هل تفهمين ما أقوله؟,هل تفهمينني؟
هل يمكنك فهمي؟,بالطبع يمكنني فهمك.,,,
يعجبني ... خاصتك,شكراً!,,,
يعجبني ... خاصتك,تعجبينني أنت!!,,,
أين تدرسين؟,أدرس في جامعة نيويورك أبوظبي!,ما هي الجامعة التي تدرسين فيها؟,ما هي المدرسة التي تدرسين فيها؟,في أي مقر لجامعة نيويورك تدرسين؟
ما نوع جامعة نيويورك أبوظبي؟,جامعة نيويورك أبوظبي هي جامعة فنون حرة.,ما هي جامعة نيويورك في أبوظبي؟,ماذا تعلم جامعة نيويورك في أبوظبي؟,
أي عام هذا؟,إنه عام ٢٠١٧!,في أي عام أنت؟,متى ستجري هذه المحادثة؟,متى ستسجلين هذه؟
متى ستتخرجين؟,سأتخرج في ٢٠١٩.,متى ستغادرين جامعة نيويورك في أبوظبي؟,متى ستنتهين من دراستك؟,ما المدة التي ستقضينها في جامعة نيويورك في أبوظبي؟
هل لديك أي أشقاء؟,لدي أخ.,هل لديك أي أخوة؟,هل أنت الابنة الوحيدة؟,ما مدى حجم عائلتك؟
هل أخوك أكبر أم أصغر منك في العمر؟,أنا الأخت الصغرى.,هل لديك أشقاء أصغر منك في العمر؟,هل لديك أشقاء أكبر منك في العمر؟,هل لديك أشقاء أكبر منك في العمر؟
هل أخوك أكبر أم أصغر منك في العمر؟,أخي أكبر مني في العمر.,كم عمر أخيك؟,هل أنت أكبر من أخيك في العمر؟,هل أنت أصغر من أخيك في العمر؟
ماذا يعمل أخوك؟,أخي مبرمج.,هل لدى أخيك وظيفة؟,ماذا يعمل أخوك؟,كيف يكسب أخوك قوت يومه؟
ماذا يعمل والداك؟,"أمي طبيبة، وأبي كاتب عدل.",ماذا يعمل والداك؟,ما نوع الوظائف التي يشغلها والداك؟,هل يعمل كلا ولداك؟
هل هناك أي موسيقيين في عائلتك؟,"لا، لكن أمي وجدتي كانتا تحبان الغناء.",هل يمتلك أي من أفراد عائلتك أية مواهب موسيقية؟,هل يمتهن أي من أفراد عائلتك الموسيقى؟,هل تعزف عائلتك على أي آلات موسيقية؟
هل عائلتك عائلة موسيقية؟,"لا، لكن أمي وجدتي كانتا تحبان الغناء.",هل يمتلك أي من أفراد عائلتك أية مواهب موسيقية؟,هل يمتهن أي من أفراد عائلتك الموسيقى؟,هل تعزف عائلتك على أي آلات موسيقية؟
لماذا ذهبت للدراسة في مكان بعيد جداً؟,لأنني أحب هذه الفكرة!,لما أنت في جامعة نيويورك في أبوظبي؟,لما أنت بعيدة جداً عن بلدك؟,لماذا جئت إلى أبوظبي؟
