2018-05-06 02:37:25	margarita	hello	Hello	1023.0	{'hello': 1023.0}	Hey	511.5	{'hello': 511.5}			
2018-05-06 02:37:25	margarita	what is your name	My name is Margarita	77.85282400014414	{'what': 6.959183673469388, 'is': 24.95121951219512, 'your': 9.836538461538462, 'name': 36.10588235294118}	My name is Margarita	58.4180305705772	{'is': 12.47560975609756, 'your': 9.836538461538462, 'name': 36.10588235294118}	Because my parents liked it! It's a Russian name actually, and it means pearl	58.4180305705772	{'is': 12.47560975609756, 'your': 9.836538461538462, 'name': 36.10588235294118}
2018-05-06 02:37:25	margarita	where are you from	I am from Moldova	248.148557801499	{'where': 68.2, 'are': 55.29729729729729, 'you': 4.298319327731092, 'from': 120.35294117647058}	I'm from Eastern Europe	248.148557801499	{'where': 68.2, 'are': 55.29729729729729, 'you': 4.298319327731092, 'from': 120.35294117647058}	Abu Dhabi is one of the emirates or cities of the United Arab Emirates and also its capital. It's a 2-hour drive away from Dubai	128.3764705882353	{'where': 68.2, 'from': 60.17647058823529}
2018-05-06 02:37:25	margarita	do your parents and siblings live in moldova 2	I have a brother	1034.4729772142364	{'do': 11.472977214236394, 'sibl': 341.0, 'sibling': 341.0, 'siblings': 341.0}	I am the younger sibling	696.3976935030428	{'your': 9.836538461538462, 'sibl': 341.0, 'live': 4.561155041504387, 'sibling': 341.0}	Before I die, I really want to have written a lot of music, have at least 2 children and help my parents travel	441.51186610312527	{'do': 11.472977214236394, 'parent': 136.4, '2': 255.75, 'parents': 37.888888888888886}
2018-05-06 02:37:25	margarita	what about your parents	My dad's parents speak Romanian, but my mom's parents speak in Ukrainian to me	297.17349991278564	{'what': 6.959183673469388, 'your': 9.836538461538462, 'parent': 204.60000000000002, 'parents': 75.77777777777777}	I convinced my parents by talking to the friend that went to the university and he confirmed that it's the best place and that it's very safe	290.2143162393163	{'your': 9.836538461538462, 'parent': 204.60000000000002, 'parents': 75.77777777777777}	My parents weren't okay with me studying here at first, but later on they were okay	290.2143162393163	{'your': 9.836538461538462, 'parent': 204.60000000000002, 'parents': 75.77777777777777}
2018-05-06 02:37:25	margarita	you have one brother	My brother is older	856.798319327731	{'you': 4.298319327731092, 'brother': 852.5}	My brother is a programmer	852.5	{'brother': 852.5}	I am the younger sibling	605.5949859943978	{'you': 4.298319327731092, 'one': 4.546666666666667, 'brother': 596.75}
2018-05-06 02:37:25	margarita	what is your life like at nyu abu dhabi	Well, NYUAD offers a good scholarship and it's a good university	481.0961538461538	{'at': 39.34615384615385, 'nyu': 255.75, 'abu': 93.0, 'dhabi': 93.0}	Because I love the idea of it	481.0961538461538	{'at': 39.34615384615385, 'nyu': 255.75, 'abu': 93.0, 'dhabi': 93.0}	Because the UAE a great place	481.0961538461538	{'at': 39.34615384615385, 'nyu': 255.75, 'abu': 93.0, 'dhabi': 93.0}
2018-05-06 02:37:25	margarita	do you like living in abu dhabi	Abu Dhabi is one of the emirates or cities of the United Arab Emirates and also its capital. It's a 2-hour drive away from Dubai	373.48908296943233	{'live': 1.4890829694323144, 'abu': 186.0, 'dhabi': 186.0}	Abu Dhabi is one of the emirates or cities of the United Arab Emirates and also its capital. It's a 2-hour drive away from Dubai	373.48908296943233	{'live': 1.4890829694323144, 'abu': 186.0, 'dhabi': 186.0}	Not too often, because I have a lot of work and I like the life on campus, but I do sometimes try to get away	269.25207794355083	{'do': 17.20946582135459, 'you': 4.298319327731092, 'like': 24.666126855600538, 'live': 2.978165938864629, 'abu': 93.0, 'dhabi': 93.0, 'living': 34.1}
2018-05-06 02:37:25	margarita	do you like the campus	Not too often, because I have a lot of work and I like the life on campus, but I do sometimes try to get away	659.9739120046863	{'do': 17.20946582135459, 'you': 4.298319327731092, 'like': 24.666126855600538, 'campu': 204.60000000000002, 'campus': 409.20000000000005}	Not too often, because I have a lot of work and I like the life on campus, but I do sometimes try to get away	455.3739120046862	{'do': 17.20946582135459, 'you': 4.298319327731092, 'like': 24.666126855600538, 'campu': 136.4, 'campus': 272.8}	Studying at NYUAD is lovely! Good-quality people, a lot of things to do on campus, great weather and small classes with experts in the field	445.33910406983694	{'do': 11.472977214236394, 'like': 24.666126855600538, 'campu': 136.4, 'campus': 272.8}
2018-05-06 02:37:25	margarita	where is abu dhabi	Abu Dhabi is one of the emirates or cities of the United Arab Emirates and also its capital. It's a 2-hour drive away from Dubai	465.15121951219515	{'where': 68.2, 'is': 24.95121951219512, 'abu': 186.0, 'dhabi': 186.0}	I am studying at New York University in Abu Dhabi	254.2	{'where': 68.2, 'abu': 93.0, 'dhabi': 93.0}	Abu Dhabi is one of the emirates or cities of the United Arab Emirates and also its capital. It's a 2-hour drive away from Dubai	238.17073170731706	{'is': 24.95121951219512, 'abu': 186.0, 'dhabi': 186.0}
