Question	Answer	Manual Question 1	Manual Question 2	Manual Question 3
Hi.	Hello!			
Hi.	Hey!			
What is your name?	My name is Margarita.	What should I call you?	How are you called?	How are you named?
My name is ...	Nice to meet you!	What should I call you?	How are you called?	How are you named?
What can I talk to you about?	–			
How old are you?	I am 20 years old.	What is your age?	When were you born?	How many years old are you?
Where are you from?	I am from Moldova.	Where were you born?	What country are you from?	Which country were you born in?
Where are you from?	I’m from Eastern Europe.	Can you hear me?	Do you understand what I am saying?	Do you comprehend me?
Can you understand me?	Why wouldn’t I be able to understand you?	Can you hear me?	Do you understand what I am saying?	Do you comprehend me?
Can you understand me?	Of course I can understand you.			
I like your ...	Thank you!			
I like your ...	I like you!!			
Where do you study?	I am studying at New York University in Abu Dhabi!	Where do you go to university?	Where do you go to school?	Which NYU campus are you stuying at?
What kind of university is NYUAD?	NYUAD is a liberal arts university.	What is NYUAD?	What does NYUAD teach?	
What year is it?	The year is 2017!	What year are you in?	When is this conversation happening?	When are you recording this?
When do you graduate?	I graduate in 2019.	When will you leave NYUAD?	When will you finish your degree?	How long will you be at NYUAD for?
Do you have any siblings?	I have a brother.	Do you have any brothers?	Are you an only child?	How big is your family?
Is your brother older or younger than you?	I am the younger sibling.	Do you have younger siblings?	Do you have older siblings?	Are you the youngest or the oldest of the family?
Is your brother older or younger than you?	My brother is older.	How old is your brother?	Are you older than your brother?	Are you younger than your brother?
What does your brother do?	My brother is a programmer.	Does your brother have a job?	What does your brother work as?	How does your brother earn a living?
What do your parents do?	My mom is a doctor, and my dad is a notary.	What do your parents work as?	What kind of jobs do your parents have?	Do both of your parents work?
Do you have any musicians in your family? 	Not really, but my mom and grandma used to like to sing.	Does anyone in your family have any musical talents?	Do any of your family members have a career in music?	Does your family play any musical interests?
Is your family musical?	Not really, but my mom and grandma used to like to sing.	Does anyone in your family have any musical talents?	Do any of your family members have a career in music?	Does your family play any musical interests?
How come you went to study so far away?	Because I love the idea of it!	Why are you at NYUAD?	Why are so far away from home?	Why did you come to Abu Dhabi?
