question,answer,video,index,character
What is your favorite place on campus?,-,,1001,katarina
What are you?,-,,1002,katarina
Was NYU Abu Dhabi your first choice?,-,,1003,katarina
How did you find out about NYU Abu Dhabi? ,-,,1004,katarina
What has been your experience with the UAE's culture? ,-,,1005,katarina
What are you?,-,,1006,katarina
What can I talk to you about? ,-,,1007,katarina
What is it like to be part of such a diverse community? ,-,,1008,katarina
Why did you choose NYUAD ?,-,,1009,katarina
Why did you choose a liberal arts university?,-,,1010,katarina
Did you apply to other universities?,-,,1011,katarina
What are you majoring in?,-,,1012,katarina
What classes have you taken outside your major?,-,,1013,katarina
What are you involved with besides Academics?,-,,1014,katarina
How was your Candidate Weekend?,-,,1015,katarina
Where do NYUAD Professors come from? ,"Just like the students, NYU Abu Dhabi professors come from all around the world. ",,1016,katarina
How large are that class sizes at NYUAD? ,Classes at NYU Abu Dhabi are relatively small. Most classes range between 10 and 30 students. ,,1017,katarina
Who is the President of NYU? ,"As of January 2016 Andrew Hamilton has been the president of New York University. President Hamilton was the Vice Chancellor at the University of Oxford from 2009 to 2015, and before then he was the provost of Yale University from 2004 till 2009. ",,1018,katarina
How did NYU Abu Dhabi come about? ,"In the academic year 2005-06, representatives of NYU and the Emirate of Abu Dhabi met and recognized that a partnership between the government of Abu Dhabi â€” with its goal of establishing world-class educational and cultural institutions in the UAE â€” and NYU â€” with its goal of achieving a truly international, global network university â€” could be furthered through the establishment of NYU Abu Dhabi.",,1019,katarina
What was the agreement to build NYU Abu Dhabi based on? ,"The agreement to build NYU Abu Dhabi is based on a shared understanding of the essential role of quality higher education in a global society: a common belief in the value of a liberal arts and sciences education; concurrence on the benefits a research university brings to the society that sustains it; a conviction that interaction with new ideas and those who are different is valuable; and a commitment to educating students who are citizens of the world, prepared to lead at home and contribute to global trade, politics, and culture.",,1020,katarina
Who is John Sexton? ,"John Sexton is the President Emeritus of New York University. He teaches â€œThe U.S. Supreme Courtâ€™s Treatment of the Relationship Between Church and State"". Before becoming New York Universityâ€™s President, President Emeritus Sexton was a professor at NYU Law School. He was named the Law Schoolâ€™s Dean in 1988 and became the Universityâ€™s President in 2001, a position he held through 2015. ",,1021,katarina
Who is Charlie? ,Charlie was John Sextons mentor when he was in school. Through John he has been the inspiration of what NYU has become. ,,1022,katarina
What are NYU Global Sites? ,NYU Abu Dhabi students get the opportunity to study away at one of the NYU Global sites during their four years for a semester away and a J-Term class. NYU global sites are academic centers located in 14 cities across the seven contenents.,,1023,katarina
Is it true that if I do my four years at NYUAD I can study away for a semester in one of the other NYU Global Sites?,NYU Abu Dhabi students get the opportunity to study away at one of the NYU Global sites during their four years for a semester away and a J-Term class. NYU global sites are academic centers located in 14 cities across the seven contenents.,,1024,katarina
Where are the NYU Global Sites located?,"NYU has three campuses around the world located in each of New York, Shanghai and Abu Dhabi. It also has global sites located in Whashington DC in the United States, Boenos Aires in Argentina, Berlin in Garmany, Florence in Italy, London in the United Kingdom, Madrid in Spain, Paris in France, Prague in the Czech Republic, Accra in Ghana, Syndney in Australia, and Tel Aviv in Isreal",,1025,katarina
How is NYUAD different from NYU? ,"NYU Abu Dhabi is a residential research university and a branch of NYU New York, operated consistent with NYU New York's academic quality and practices.New York University in Abu Dhabi Corporation is a New York not-for-profit, which is registered as a branch of a foreign entity in Abu Dhabi and supports NYU in fulfilling its educational and research mission and contributing to the evolution of Abu Dhabi as an international center of ideas and human capital development.",,1026,katarina
Is it true that NYU is cutting ties with NYUAD?,"NYU New York is not cutting ties with NYU Abu Dhabi, the articles released are misleading, and inaccurate.",,1027,katarina
What is the vision of NYUAD? ,"Both the government of Abu Dhabi and NYU are committed to building a US-style, research-focused educational institution. NYU Abu Dhabi equips students for leadership in all arenas of human endeavor. It fosters curiosity, creativity, and critical reflection. At NYU Abu Dhabi, faculty and students extend the frontiers of knowledge, and they extend themselves.New York University in Abu Dhabi Corporation is a New York not-for-profit, which is registered as a branch of a foreign entity in Abu Dhabi and supports NYU in fulfilling its educational and research mission and contributing to the evolution of Abu Dhabi as an international center of ideas and human capital development.",,1028,katarina
Where are most NYUAD students from? ,NYU Abu Dhabiâ€™s high-achieving students have come from 115 nations and speak over 115 languages.,,1029,katarina
Where is the NYUAD campus located?,"Saadiyat Marina District, Abu Dhabi",,1030,katarina
What has NYUAD done to address the concerns about the treatment of the individuals who worked on the construction phase of the campus? ,-,,1031,katarina
What is a liberal arts school? ,-,,1032,katarina
Does NYUAD have a library on campus? ,"Absolutely, located on the top floor of the Campus Center, the NYU Abu Dhabi Library provides spaces for engagement between faculty and students, complemented by quiet areas for concentration and contemplation. Comfortable reading areas and study rooms create a productive atmosphere for research.",,1033,katarina
Is NYUAD co-educational? ,Classrooms at NYU Abu Dhabi are co-educational. ,,1034,katarina
Are classrooms gender segregated at NYUAD? ,Classrooms at NYU Abu Dhabi are co-educational. ,,1035,katarina
Are NYUNY students able to study away in Abu Dhabi? ,NYU New York and NYU Shanghai students have the opportunity to apply to study for a semester at NYU Abu Dhabi. ,,1036,katarina
Are NYUAD students able to study away at NYU global sites? ,"Yes, students are encouraged to spend up to two semesters over their four years at NYUAD studying abroad at any of NYU's 14 global academic centers.",,1037,katarina
What is the NYUAD Institute?,"The NYU Abu Dhabi Institute brings people together to experience vitally new ideas and discuss pressing global issues. The Institute presents academic conferences, research workshops, public lectures, conversations with authors and artists, films, and co-sponsors exhibitions in both Abu Dhabi and New York.The Institute is a cornerstone of academic excellence at NYU Abu Dhabi.",,1038,katarina
What is the Arts Centre?,"The NYUAD Arts Centre is a complex of theaters and performance venues, a project space gallery, rehearsals rooms, film editing studios, classrooms, and workshops that houses NYU Abu Dhabiâ€™s Theater, Music, Film, Visual Arts, and New Media Studies departments. The Arts Center presents distinguished professional artists from around the world alongside student, faculty, and community productions.The Arts Center offers NYUAD compelling programming that connects to the curriculum and illuminates the scholarly pursuits of students and faculty.   ",,1039,katarina
Can NYUAD students access Arts Centre and Institute events for free?,NYU Abu Dhabi Institue and Arts Centre have been open for the public free of cost. ,,1040,katarina
Can you tell me more about Abu Dhabi? ,"Abu Dhabi is the largest of the seven emirates that make up the United Arab Emirates. It occupies nearly 87 percent of the country's total landmass and includes the capital â€” the city of Abu Dhabi â€” and a second major city named Al Ain, located near the emirate's border with Oman. According to the 2005 census, the Emirate of Abu Dhabi is home to over 1.3 million people, the majority of whom are expatriates.",,1041,katarina
Is it true that Abu Dhabi gets all of its financial resources from oil? ,"The Emirate of Abu Dhabi holds 9 percent of the world's proven oil reserves and almost 5 percent of the world's proven supplies of natural gas. However, the government of Abu Dhabi is overseeing an ambitious strategy to diversify the local economy over the next two to three decades to ensure that the emirate continues to grow in a balanced and sustainable way.",,1042,katarina
What is Abu Dhabi's stand on education and higher education? ,"From the government's perspective, significant and ongoing investment in education is central to the successful achievement of all of its social and economic objectives, and the establishment of NYU Abu Dhabi is an important element in that effort. Among the UAE national population, there are currently more women than men enrolled in higher education.",,1043,katarina
,"Established in 1971, the UAE is a federation with two separate levels of government. Sheikh Khalifa bin Zayed Al Nahyan, the ruler of the Emirate of Abu Dhabi, is also the president of the country.",,1044,katarina
Where is the campus? ,The NYU Abu Dhabi campus is located on Saadiyat Island. Saadiyat is home to a few emerging artistic and cultural landmarks including the Louvre Museum and the Guggenheim Museum.,,1045,katarina
What can I do aound saadiyat? ,"Manarat alsaadiyat, Louvre museum, Warehouse 421, Guggenheim, Sheikh Zayed Museum. ",,1046,katarina
What can I do for fun in Abu Dhabi? ,"There are many ferstivals year-round, NYUAD Art Centre and Institute, museums, ferrari world, etc. ",,1047,katarina
Do I have to wear a headscarf? ,You do not have to wear a headscarf.,,1048,katarina
What is the national dress? ,The Emirati national dress for men is called the Kandoura. For women it is called the Abaya.,,1049,katarina
Will I need to learn Arabic to get by in Abu Dhabi and the UAE? ,You do not need to learn Arabic to get by in Abu Dhabi.,,1050,katarina
How safe is it living in Abu Dhabi? ,Abu Dhabi is an extremely safe city.,,1051,katarina
How should I dress when in Abu Dhabi? ,"Abu Dhabi is considered conservative but tolerant when it comes to dress code. Given the diverse nature of the population, one can see many different types of dress in Abu Dhabi (jeans, saris, business suits, dishdashas, and abayas). Visitors are free to wear the same clothes that they would wear at home, but both men and women typically refrain from wearing excessively revealing clothing out of respect for the local culture and customs. For most of the year, lightweight summer clothing is suitable. Warmer clothes are needed during the winter months, especially in the evening.",,1052,katarina
What does Abu Dhabi mean in English? ,"Abu Dhabi translates literally to ""father of the gazelle,"" in reference to an indigenous type of deer said to have inhabited the area. To this day, a particular species of native Arabian gazelle is referred to as ""dhabi"" in Arabic.",,1053,katarina
Tell me a little about the history of the UAE. ,"The United Arab Emirates was established as a nation on December 2, 1971. When the British announced their intention to withdraw from the region, the late Sheikh Zayed bin Sultan Al Nahyan, the founder and first president of the UAE, successfully negotiated agreements between the emirates that now make up the nation.",,1054,katarina
What type of government does the UAE have? ,"The United Arab Emirates has a federal government with seven regional subdivisions, called emirates. The head of the federal government is the president, Sheikh Khalifa bin Zayed Al Nahyan. Abu Dhabi is the name of both the capital city and the largest of the emirates. The seven emirates are Abu Dhabi, Ajman, Dubai, Fujairah, Ras al-Khaimah, Sharjah, and Umm al-Qaiwain.",,1055,katarina
Tell me a little about Abu Dhabi's geography. ,"The Emirate of Abu Dhabi makes up approximately 87 percent of the country's total landmass. About 70 percent of the land is desert, but Abu Dhabi also has 700 kilometers of coastline and some 200 islands.",,1056,katarina
What is the climate like in Abu Dhabi?,"The climate of Abu Dhabi is hot and arid. From June to September maximum temperatures average above 35 degrees Celsius (95 degrees Fahrenheit) and the humidity is high. During the cooler months, from November to March, average temperatures range from 18 degrees Celsius (64.4 degrees Fahrenheit) to 25 degrees Celsius (77 degrees Fahrenheit). There is very little rainfall in Abu Dhabi; February is generally the wettest month, with an average rainfall of 42 millimeters (1.65 inches).",,1057,katarina
What are the languages spoken in Abu Dhabi? ,"Arabic is the official language of government and business in the UAE, although English, Persian, Hindi, and Urdu are also spoken. All signs (road, store, restaurant, etc.) are either in English or in both English and Arabic. It is quite easy to navigate the city using English. As a general rule, a wider range of languages is spoken â€” and with a higher level of fluency â€” in major cities than in rural areas.",,1058,katarina
What are the demographics of the UAE? ,"The UAE's population is about 8.3 million and it is one of the most ethnically diverse in the Middle East. Roughly 11 percent of the population is Emirati; with other major demographic groups including South Asians, other Arab nationals, East Asians, and Western expatriates.",,1059,katarina
Does the UAE relate itself to a specific religion? ,"The official religion of the UAE is Islam, although other religions are respected and practiced freely.",,1060,katarina
What is the currency used in the UAE? ,"The currency of the UAE is the dirham, which is divided into 100 fils. The UAE dirham is fixed to the US dollar at a rate of 3.67 dirham to the dollar.",,1061,katarina
What timezone is Abu Dhabi in?,"The UAE is in Greenwich Mean Time plus four hours, or nine hours ahead of New York in Standard Time. During Daylight Savings Time, Abu Dhabi is eight hours ahead of New York.",,1062,katarina
How feasible is it to explore the seven other emirates if I study in Abu Dhabi? ,It is easy to travel to any of the emirates from Abu Dhabi. They make nice long weekend trips. Student Life provides trips to each of the other Emirates throughout the semester. ,,1063,katarina
How can one go about exploring learning more about the culture of the UAE? ,Meeting with Emiratis is always a good way of getting an insight into the culture. The campus life office provides many opportunities to experience the culture from events to trips. ,,1064,katarina
How does NYUAD support students in adjusting to life in the UAE? ,The office of First Year Programming helps all new students adjust to life in the UAE,,1065,katarina
Tell me about driving in the UAE,Some countries' driver licenses can be converted automatically. Please check with the Emirates Driving Company,,1066,katarina
Can women drive in the UAE,Women can drive in the UAE.,,1067,katarina
Can I triple major at NYUAD? ,,,1068,katarina
When do I have to declare my major?,"NYU Abu Dhabi students have to declare their majors by the end of the forth semester. However, some major require that you declare it earlier to enroll in certain classes. ",,1069,katarina
What PE courses are available?,"There are a variety of PE courses available for students, from fitness classes to sports such as performce boxing and swimming. ",,1070,katarina
Do I have to take PE courses? ,All students are required to complete two seven-week Physical Education sessions as a graduation requirement. ,,1071,katarina
Why do I have to take PE courses? ,"Here at NYU Abu Dhabi we believe that physical fitness is an important aspect of overall student development. Thus, completing two seven-week courses is a graduation requirement. ",,1072,katarina
What is the difference between Computer Engineering and Computer Science? ,Computer Engineering is more focused on hardware; while Computer Science is more foused on software.,,1073,katarina
What degrees does NYUAD offer? ,"As of 2017, NYUAD offers Bachelor of Science, Bachelor of Arts, and PhD in a limited number of fields. ",,1074,katarina
